901133,1,0,0,0,1,0,0,0
131075,2,0,3,0,2,0,3,0
901135,0,0,2,0,0,0,2,0
901134,1,0,2,0,1,0,2,0
131078,3,0,3,0,3,0,3,0
131079,1,0,2,0,1,0,2,0
131076,2,0,3,0,2,0,3,0
131077,3,0,4,0,3,0,4,0
131080,1,0,3,0,1,0,3,0
131086,2,0,4,0,2,0,4,0
901120,2,0,4,0,2,0,4,0
131084,3,0,1,0,3,0,1,0
131090,1,0,5,0,1,0,5,0
901148,2,0,3,0,2,0,3,0
131088,2,0,4,0,2,0,4,0
901151,2,0,5,0,2,0,5,0
901150,2,0,4,0,2,0,4,0
901145,2,0,6,0,2,0,6,0
131094,6,0,8,0,6,0,8,0
901144,39,0,15,0,39,0,15,0
131092,4,0,6,0,4,0,6,0
901146,2,0,2,0,2,0,2,0
901141,47,0,2,0,47,0,2,0
901140,55,0,39,0,55,0,39,0
131096,7,0,13,0,7,0,13,0
901142,5,0,11,0,5,0,11,0
901137,1,0,0,0,1,0,0,0
901136,6,0,2,0,6,0,2,0
901139,2,0,5,0,2,0,5,0
901138,2,0,1,0,2,0,1,0
901165,0,0,15,0,0,0,15,0
901164,1,0,1,0,1,0,1,0
901167,1,0,8,0,1,0,8,0
901166,5,0,1,0,5,0,1,0
901161,2,0,2,0,2,0,2,0
901160,3,0,2,0,3,0,2,0
901162,2,0,3,0,2,0,3,0
901156,2,0,7,0,2,0,7,0
901155,30,0,27,0,30,0,27,0
131130,4,0,8,0,4,0,8,0
901173,1,0,7,0,1,0,7,0
901175,1,0,0,0,1,0,0,0
901174,6,0,6,0,6,0,6,0
131129,1,0,1,0,1,0,1,0
901168,5,0,5,0,5,0,5,0
131133,15,0,4,0,15,0,4,0
901170,5,0,2,0,5,0,2,0
131138,3,0,2,0,3,0,2,0
901197,4,0,5,0,4,0,5,0
901196,7,0,7,0,7,0,7,0
131136,1,0,1,0,1,0,1,0
901198,0,0,0,0,0,0,0,0
